Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,1,95,1970,85218,1303835,15.3,689414,8.09,614422,1.89122211,4481000,52.58
0,1,142,1965,167000,2937530,17.59,1771870,10.61,1165660,1.657869934,8775000,52.54
0,1,100,1962,101500,1630090,16.06,909440,8.96,720650,1.792410714,5317000,52.38
0,1,42,1931,45700,652139,14.27,318529,6.97,333610,2.047345768,2388000,52.25
0,1,68,1928,74462,1035022,13.9,488471,6.56,546551,2.118901634,3884000,52.16
1,1,70,1961,79296,1194198,15.06,624852,7.88,569345,1.911169365,4133000,52.12
1,1,125,1955,194730,2778797,14.27,1363110,7,1415687,2.038571355,10128000,52.01
0,1,59,1932,75260,1025041,13.62,471128,6.26,553914,2.175716578,3908000,51.93
1,1,56,1932,73911,1213619,16.42,696981,9.43,516638,1.741251196,3831000,51.83
0,1,185,1955,200000,3206000,16.03,1808000,9.04,1398000,1.773230088,10320000,51.6
0,1,86,1927,114941,1563198,13.6,725278,6.31,837920,2.155308723,5914000,51.45
0,1,79,1930,67248,1075296,15.99,606577,9.02,468719,1.772727947,3458000,51.42
0,1,63,1928,62916,911024,14.48,461803,7.34,449220,1.972754616,3229000,51.32
0,1,66,1955,71256,1045326,14.67,544396,7.64,500930,1.920157385,3616000,50.75
0,1,103,1961,107627,1616558,15.02,867474,8.06,749084,1.863523287,5437000,50.52
1,1,180,1962,231154,3777056,16.34,2207521,9.55,1569536,1.710994369,11648000,50.39
1,1,54,1939,76500,1246950,16.3,726750,9.5,520200,1.715789474,3855000,50.39
0,1,221,1972,214344,3245168,15.14,1761908,8.22,1483260,1.841848723,10798000,50.38
0,1,58,1932,67500,951750,14.1,475200,7.04,476550,2.002840909,3400000,50.37
0,1,47,1963,38150,651984,17.09,395616,10.37,256368,1.648022325,1919000,50.3
1,1,109,1965,110000,1735800,15.78,984500,8.95,751300,1.763128492,5524000,50.22
0,1,120,1956,133400,1934300,14.5,1005836,7.54,928464,1.923076923,6675000,50.04
0,1,74,1962,69848,1040735,14.9,558784,8,481951,1.862499642,3489000,49.95
1,1,60,1966,64310,1035391,16.1,600655,9.34,434736,1.723769885,3210000,49.91
0,1,25,1931,27018,385277,14.26,196961,7.29,188315,1.956108062,1347000,49.86
0,1,25,1931,21080,353512,16.77,212697,10.09,140814,1.662045069,1050000,49.81
0,1,55,1940,43195,641446,14.85,344264,7.97,297182,1.863238677,2151000,49.8
1,1,69,1954,92171,1384408,15.02,753037,8.17,631371,1.838432906,4589000,49.79
1,1,68,1958,82000,1236560,15.08,674860,8.23,561700,1.832320778,4083000,49.79
0,1,60,1936,70000,938700,13.41,443100,6.33,495600,2.118483412,3485000,49.79
0,1,116,1937,108757,1647669,15.15,905946,8.33,741723,1.818727606,5395000,49.61
0,1,108,1958,93645,1509557,16.12,881199,9.41,628358,1.713071622,4642000,49.57
0,1,78,1963,93000,1275960,13.72,625890,6.73,650070,2.038632987,4597000,49.43
1,1,188,1960,263206,3871760,14.71,2071431,7.87,1800329,1.869123326,12988000,49.35
1,1,144,1939,189592,2777523,14.65,1482609,7.82,1294913,1.873402225,9335000,49.24
0,1,83,1928,63540,946111,14.89,519122,8.17,426989,1.822521488,3095000,48.71
1,1,82,1954,106684,1562921,14.65,847071,7.94,715850,1.845088546,5159000,48.36
0,1,320,1960,292000,4380000,15,2435280,8.34,1944720,1.798561151,14111000,48.33
0,1,93,1930,88386,1353190,15.31,771610,8.73,581580,1.753722736,4244000,48.02
0,1,140,1967,182218,2465410,13.53,1226327,6.73,1239082,2.010401793,8730000,47.91
