Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-03081-0042,2114 BELMONT AVENUE,EAST TREMONT,C6  -WALK-UP,       16,1927,12200,165066,     13.53,82472,6.76,82594,586000,     48.03
2-03111-0004,2120 MAPES AVENUE,EAST TREMONT,C6  -WALK-UP,       29,1914,27495,331315,     12.05,149023,5.42,182292,1244000,     45.24
2-03081-0013,2121 BELMONT AVENUE,EAST TREMONT,C6  -WALK-UP,       21,1910,17000,328440,     19.32,174930,10.29,153510,1186000,     69.76
2-03083-0068,2129 CROTONA AVENUE,EAST TREMONT,C6  -WALK-UP,       50,1924,40500,578745,     14.29,319950,7.9,258795,1865000,     46.05
2-03098-0050,2131 CLINTON AVENUE,EAST TREMONT,C6  -WALK-UP,       27,1927,29600,436600,     14.75,219336,7.41,217264,1580000,     53.38
2-03097-0053,2141 PROSPECT AVENUE,EAST TREMONT,C6  -WALK-UP,       15,1910,10560,160090,     15.16,72019,6.82,88070,645000,     61.08
2-03083-0045,2167 CROTONA AVENUE,EAST TREMONT,D4  -ELEVATOR,       22,1926,21000,335370,     15.97,203910,9.71,131460,976000,     46.48
2-03061-0070,565 EAST 178 STREET,EAST TREMONT,C6  -WALK-UP,       20,1907,16100,296079,     18.39,142807,8.87,153272,1173000,     72.86
2-03083-0001,661 EAST 181 STREET,EAST TREMONT,D4  -ELEVATOR,      281,1959,272000,4305760,     15.83,2344640,8.62,1961120,14531000,     53.42
2-03095-0007,700 OAKLAND PLACE,EAST TREMONT,D4  -ELEVATOR,       30,1931,25176,438062,     17.40,222304,8.83,215758,1634000,     64.90
2-03095-0001,705 EAST 179 STREET,EAST TREMONT,C6  -WALK-UP,       35,1916,30000,504900,     16.83,209400,6.98,295500,2222000,     74.07
2-03094-0054,755 OAKLAND PLACE,EAST TREMONT,C6  -WALK-UP,       26,1907,23740,390523,     16.45,206063,8.68,184460,1379000,     58.09
2-03110-0089,785 EAST 181 STREET,EAST TREMONT,C6  -WALK-UP,       26,1913,19523,268441,     13.75,147594,7.56,120847,861000,     44.10
2-03107-0006,810 EAST 178 STREET,EAST TREMONT,C6  -WALK-UP,       20,1911,18450,249629,     13.53,124722,6.76,124907,885000,     47.97
2-03117-0010,851 EAST TREMONT AVENUE,EAST TREMONT,C6  -WALK-UP,       26,1931,21150,307310,     14.53,153761,7.27,153549,1113000,     52.62
2-03117-0023,855 EAST 178 STREET,EAST TREMONT,C6  -WALK-UP,      107,1931,90600,1498524,     16.54,806340,8.9,692184,5164000,     57.00
2-03126-0028,940 EAST 178 STREET,EAST TREMONT,C6  -WALK-UP,       18,1992,17820,291713,     16.37,141491,7.94,150223,1121000,     62.91
